time,category,message,day
21:00,استرخاء وتأمل,قبل النوم، خصص 10 دقائق للاسترخاء.  جرب تقنية الاسترخاء العضلي التدريجي:  شدّ عضلات جسمك واحدة تلو الأخرى، ثم ارخها.  ركز على شعور الاسترخاء الذي ينتشر في جسمك. هذا يساعد على تحسين نوعية نومك.,3
07:00,تحفيز صباحي,صباح الخير أبطال!  اليوم هو يوم التركيز على صحة الأمعاء!  لنبدأ يومنا بكأس من الماء الدافئ مع عصير ليمون لتحفيز عملية الهضم.  تذكر، صحة الأمعاء هي مفتاح صحة الجسم بأكمله.  #صحة_الأمعاء #يوم_صحي,4
08:00,وجبة الفطور,وجبة فطور اليوم:  شوفان مطهو مع نصف كوب من التوت البري (غني بمضادات الأكسدة والفيتامينات)، ربع أفوكادو (غني بالأحماض الدهنية الصحية للقلب) وملعقة كبيرة من بذور الكتان (مصدر ممتاز للألياف).  هذه الوجبة ستُعزز صحة الأمعاء وتمنحك الطاقة اللازمة لبداية يومك.,4
09:00,معلومة علمية,هل تعلم أن البكتيريا النافعة في الأمعاء تلعب دوراً حاسماً في امتصاص العناصر الغذائية، وتعزيز جهاز المناعة، وحتى في تنظيم المزاج؟  تناول الأطعمة الغنية بالبروبيوتيك (مثل الزبادي، والكيمتشي) سيساعد على زيادة هذه البكتيريا.,4
11:00,تحدي رياضي,تحدي اليوم: تمارين الضغط على الجدار (Wall Push-ups).  قم بأداء 3 جولات من 10-15 تكرارًا لكل جولة.  هذه التمارين تساعد على تقوية عضلات الصدر والكتفين والذراعين، وتحسين توازن الجسم.  تذكر الإحماء قبل البدء.,4
13:00,وجبة الغداء,وجبة الغداء: سلطة كبيرة تتكون من الخضار الورقية (سبانخ، خس روماني)،  قطع دجاج مشوي (غني بالبروتين)،  حبة طماطم (غنية بالليكوبين)،  وصوص من زيت الزيتون وعصير الليمون (غني بالأحماض الدهنية غير المشبعة).  هذه الوجبة متوازنة ومتنوعة، وتساهم في صحة الجهاز الهضمي.,4
15:00,نصيحة غذائية,لتعزيز صحة الأمعاء، قلل من تناول الأطعمة المصنعة، والأطعمة الغنية بالسكريات المضافة، والدهون المشبعة.  ركز على تناول الأطعمة الغنية بالألياف، مثل الفواكه والخضروات والحبوب الكاملة.,4
17:00,وجبة العصر,وجبة العصر: زبادي يوناني مع ملعقتين من العسل الخام (مضادات أكسدة طبيعية) وبعض قطع الفاكهة (مصدر للفيتامينات والمعادن).  الزبادي مصدر ممتاز للبروبيوتيك، مما يُساعد على تحسين صحة الأمعاء.,4
19:00,وجبة العشاء,وجبة العشاء: سمك مشوي (غني بأحماض أوميغا 3 الدهنية) مع الخضار المطهوة على البخار (بروكلي، جزر).  سمك السلمون مثالي لتعزيز صحة الأمعاء وتقليل الالتهابات.,4
21:00,استرخاء وتأمل,وقت للاسترخاء! جرب تقنية التنفس العميق لمدة 10 دقائق.  استنشق ببطء من أنفك، واحبس نفسك قليلاً، ثم زفر ببطء من فمك.  كرر العملية عدة مرات لتحسين نومك.,4
07:00,تحفيز صباحي,صباح الخير! يومنا الخامس في رحلة الصحة!  اليوم هو يوم التركيز على قوة الجهاز الهضمي.  هدفنا اليوم هو تحسين عملية الهضم عبر اختيار أطعمة مناسبة و ممارسة تمارين بسيطة. دعونا نبدأ بيوم مليء بالطاقة!,5
08:00,وجبة الفطور,وجبة فطور اليوم:  شريحتان من خبز القمح الكامل (غنية بالألياف لتحسين الهضم) مع بيضة مسلوقة (مصدر بروتين عالي الجودة) و ربع أفوكادو (غني بالدهون الصحية المفيدة للقلب ويساعد على امتصاص العناصر الغذائية).  شرب كوب من الماء الدافئ مع عصير ليمون (يساعد على تنشيط الجهاز الهضمي).,5
09:30,معلومة علمية,هل تعلم أن البروبيوتيك، وهي بكتيريا نافعة تعيش في الأمعاء، تلعب دوراً حيوياً في صحة الجهاز الهضمي؟ تساعد هذه البكتيريا على الهضم، وتعزز مناعة الجسم، وتنتج فيتامينات أساسية.  يمكنك الحصول على البروبيوتيك من خلال تناول الزبادي، الكيمتشي، والمخللات.,5
11:00,تحدي رياضي,تحدي اليوم: تمارين  'اليوغا'  للتحسين من عملية الهضم.  قم بأداء تمارين  'الطفل' و 'القطة البقرة' لمدة 5 دقائق لكل تمرين، مع 3 جولات لكل تمرين. هذه التمارين تساعد على تحسين مرونة العمود الفقري وتحفيز حركة الأمعاء.,5
13:00,وجبة الغداء,وجبة الغداء: سلطة كبيرة من الخضار الورقية (غنية بالفيتامينات والمعادن والألياف)، مع نصف كوب من العدس (مصدر ممتاز للبروتين والألياف)،  و قطعة من سمك السلمون المشوي (غني بأحماض أوميغا 3 الدهنية  التي تساعد على تقليل الالتهابات في الجسم).  لا تنسَ شرب كوب من الماء.,5
15:00,معلومة علمية,الماء ضروري لصحة الجهاز الهضمي! يساعد الماء على تليين الطعام وتسهيل مروره عبر الجهاز الهضمي، مما يقلل من الإمساك.  تأكد من شرب كمية كافية من الماء طوال اليوم.,5
17:00,وجبة العصر,وجبة العصر:  تفاحة متوسطة الحجم (غنية بالألياف) مع حفنة من اللوز (مصدر جيد للبروتين والدهون الصحية)  و زبادي يوناني (غني بالبروبيوتيك).   هذه الوجبة تساعد على تحسين عملية الهضم وتجنب الشعور بالجوع قبل العشاء.,5
19:00,وجبة العشاء,وجبة العشاء:  دجاج مشوي (مصدر بروتين خفيف) مع  كوب من البروكلي المطهو على البخار (غني بالفيتامينات والمعادن والألياف)  و كوب صغير من الأرز البني (مصدر كربوهيدرات معقدة).  تجنب تناول الطعام قبل النوم بساعتين على الأقل.,5
21:00,استرخاء وتأمل,قبل النوم، خصص 10 دقائق للاسترخاء.  جرب تقنية التنفس العميق: استنشق ببطء من أنفك، وأمسك أنفاسك لبضع ثوان، ثم زفر ببطء من فمك. كرر هذه العملية لمدة 10 دقائق.  هذا يساعد على تهدئة الجهاز العصبي وتحسين جودة النوم.,5
07:00,تحفيز صباحي,صباح الخير! يومكِ  يبدأ الآن،  ركز على هدفك الصحي لهذا الأسبوع، وخطط لثلاث أشياء صغيرة ستفعلها اليوم لتحقيق ذلك.  سجلها في دفتر ملاحظاتكِ! #التحفيز #الهدف #الصحة,6
08:00,وجبة الفطور,وجبة فطور اليوم:  شوفان (غني بالألياف التي تساعد على الهضم) مع  توت أزرق (غني بمضادات الأكسدة)  ومكسرات (مصدر للبروتين والدهون الصحية)  وبذور الكتان (مصدر للأوميغا 3).  ابتدئ يومك بطاقة! #وجبة_صحية #فطور #غذاء_صحي,6
09:00,معلومة علمية,هل تعلم أن شرب كمية كافية من الماء يساهم في تحسين وظائف الكلى ويساعد على التخلص من السموم؟  هدفك اليوم هو شرب 8 أكواب من الماء على الأقل.  #الماء #ترطيب #صحة_الكلى,6
11:00,تحدي رياضي,تحدي اليوم: تمارين اليوغا!  ركز على تمارين التمدد  مثل  (تمرين الكلب للأسفل، ووضعية الطفل،  وضعية المثلث).   قم بتكرار كل تمرين 5 مرات،  3 جولات.  سيساعدك ذلك على تحسين المرونة وتقوية عضلاتك.  #اليوجا #لياقة_بدنية #مرونة,6
13:00,وجبة الغداء,وجبة الغداء: سلطة كبيرة تتكون من الخضروات الورقية (كالسبانخ والخس، غنية بالفيتامينات والمعادن)،  دجاج مشوي (بروتين عالي الجودة)،  أفوكادو (دهون صحية)،  وحبوب الكينوا (مصدر للبروتين والألياف). #غداء_صحي #سلطة #تغذية_صحية,6
15:00,نصيحة صحية,نصيحة اليوم:  راقب  معدل ضربات قلبك أثناء التمارين الرياضية.  يجب أن يكون ضمن المعدل المناسب لصحتك.  استشر طبيبكِ لتحديد معدل ضربات القلب المناسب لكِ. #معدل_ضربات_القلب #صحة_القلب #تمارين_رياضية,6
17:00,وجبة خفيفة,وجبة خفيفة:  تفاحة مع زبادي يوناني (غني بالبروتين والكلسيوم).  #وجبة_خفيفة #فاكهة #زبادي,6
19:00,وجبة العشاء,وجبة العشاء: سمك مشوي (غني بأحماض أوميغا 3 الدهنية) مع خضار مشوية (مثل البروكلي والقرنبيط، غنية بالفيتامينات والمعادن). #عشاء_صحي #سمك #خضار,6
21:00,استرخاء وتأمل,وقت للاسترخاء!  جرب تقنية التنفس العميق لمدة 10 دقائق قبل النوم.  استنشق ببطء من أنفك،  واحبس أنفاسك لفترة قصيرة، ثم أخرجه من فمك ببطء.  كرر العملية عدة مرات. #استرخاء #تأمل #تنفس,6
07:00,تحفيز صباحي,صباح الخير! يومك السابع من رحلتنا الصحية!  اليوم، تركّز على قوة إرادتك.  قبل أن تبدأ يومك، اكتب ثلاث أشياء تشعر بالامتنان لها.  هذا سيساعدك على البدء بيوم إيجابي ومنتج. #اليوم_السابع #قوة_الإرادة #الامتنان,7
08:00,وجبة الفطور,وجبة فطور غنية بالبروتين والألياف:  شوفان (كوب) مع حليب اللوز (ربع كوب) + توت بري (نصف كوب) + بذور شيا (ملعقة كبيرة).  الفوائد: الشوفان غني بالألياف التي تساعد على الهضم،  التوت البري غني بمضادات الأكسدة، بذور الشيا مصدر ممتاز للأوميغا 3 والألياف. #وجبة_صحية #فطور_صحي #ألياف #بروتين,7
09:30,معلومة علمية,هل تعلم أن نقص فيتامين د يمكن أن يؤثر سلباً على صحة العظام والمناعة؟  تعرض نفسك لأشعة الشمس لمدة 15-20 دقيقة يومياً (مع مراعاة استخدام واقي الشمس)  يساعد على زيادة مستوى فيتامين د في الجسم.  استشر طبيبك إذا كنت تشك في نقص فيتامين د. #فيتامين_د #صحة_العظام #المناعة,7
11:00,تحدي رياضي,تحدي اليوم: تمارين القرفصاء. قم بأداء 3 جولات من 15 قرفصاء لكل جولة.  ركز على الحفاظ على وضعية الجسم الصحيحة لتجنب الإصابات.  فوائد القرفصاء: تقوية عضلات الساقين والأرداف وتحسين توازن الجسم. #تمارين_رياضية #قرفصاء #لياقة_بدنية,7
13:00,وجبة الغداء,غداء صحي ومتوازن:  سلطة كبيرة من الخضروات (خس، خيار، طماطم، فلفل ألوان) + صدور دجاج مشوية (100غرام) +  حبة أفوكادو.  الفوائد: الخضروات غنية بالفيتامينات والمعادن،  الدجاج مصدر ممتاز للبروتين، الأفوكادو غني بالدهون الصحية. #غداء_صحي #سلطة #بروتين #دهون_صحية,7
15:00,نصيحة صحية,نصيحة اليوم:  اشرب كمية كافية من الماء طوال اليوم. الماء ضروري لجميع وظائف الجسم،  يساعد على الهضم،  ينظم درجة حرارة الجسم،  ويساعد على الشعور بالشبع.  حاول أن تشرب 8 أكواب من الماء يومياً على الأقل. #ترطيب #ماء #صحة,7
17:00,وجبة العصر,وجبة عصر خفيفة:  زبدة الفول السوداني (ملعقة كبيرة) + تفاحة متوسطة الحجم.  الفوائد: زبدة الفول السوداني غنية بالبروتين والدهون الصحية، التفاحة غنية بالألياف وفيتامين C. #وجبة_عصر #صحي #خفيف,7
19:00,وجبة العشاء,عشاء خفيف وسهل الهضم:  شوربة العدس (كوب ونصف) + خبز قمح كامل (شريحة واحدة).  الفوائد: العدس غني بالبروتين والألياف،  الخبز القمح الكامل مصدر جيد للألياف. #عشاء_صحي #عدس #ألياف,7
21:00,استرخاء وتأمل,قبل النوم، خصص 10 دقائق للاسترخاء.  جرب تقنية التنفس العميق: استنشق الهواء ببطء لمدة 4 ثوان،  أمسك أنفاسك لمدة 7 ثوان،  ثم زفر ببطء لمدة 8 ثوان.  كرر العملية لمدة 5 دقائق.  سيساعدك هذا على تهدئة ذهنك وجسمك قبل النوم. #استرخاء #تأمل #تنفس_عميق #النوم,7
07:00,تحفيز صباحي,صباح الخير! يوم جديد، فرصة جديدة لتحقيق أهدافك الصحية.  لنبدأ اليوم بتمرين التنفس العميق لمدة 5 دقائق: استنشق ببطء من أنفك، واحبس نفسك قليلاً، ثم زفر ببطء من فمك. كرر العملية 10 مرات. هذا يساعد على تهدئة الجهاز العصبي وتنشيط الدورة الدموية.,8
07:30,وجبة الفطور,وجبة فطور اليوم:  شريحتان من خبز القمح الكامل مع ملعقتين كبيرتين من زبدة الفول السوداني (غنية بالبروتين والألياف والدهون الصحية) و نصف أفوكادو (غني بالأحماض الدهنية غير المشبعة الأحادية المفيدة للقلب).  بالإضافة إلى كوب من الشاي الأخضر (غني بمضادات الأكسدة).  سيساعدك هذا على الشعور بالشبع والامتلاء حتى وقت الغداء.,8
09:00,معلومة علمية,هل تعلم أن نقص فيتامين د قد يؤثر سلباً على امتصاص الكالسيوم، مما يؤدي إلى هشاشة العظام؟  لذلك، تأكد من الحصول على كمية كافية من فيتامين د من خلال التعرض لأشعة الشمس أو تناول مكملات غذائية بعد استشارة الطبيب.,8
12:00,وجبة الغداء,وجبة الغداء: صدور دجاج مشوية (مصدر ممتاز للبروتين) مع كوب من الأرز البني (غني بالألياف والمعادن) وسلطة خضراء كبيرة مع زيت الزيتون (غني بمضادات الأكسدة والدهون الصحية).  هذا المزيج يوفر لك الطاقة اللازمة لبقية يومك.,8
13:30,تحدي رياضي,تحدي اليوم: تمرين الضغط (Push-ups). قم بأداء 3 جولات، كل جولة تتكون من 10-15 ضغطًا، مع راحة لمدة دقيقة بين الجولات.  هذا التمرين يقوي عضلات الصدر والكتفين والذراعين، ويحسن من قوة الجسم بشكل عام.  تذكر أن تحافظ على وضعية صحيحة لتجنب الإصابات.,8
16:00,وجبة العصر,وجبة العصر:  زبادي يوناني قليل الدسم مع ملعقتين من العسل وتوت بري (غني بمضادات الأكسدة والألياف).  هذه الوجبة خفيفة وصحية وتساعد على تجنب الإفراط في تناول الطعام عند العشاء.,8
18:00,معلومة علمية,النوم الكافي ضروري لصحة جيدة.  يساعد النوم على تجديد خلايا الجسم وإصلاح الأنسجة، ويقوي جهاز المناعة.  سارع بالنوم لمدة 7-8 ساعات يوميًا للحصول على أفضل النتائج.,8
19:30,وجبة العشاء,وجبة العشاء:  شوربة عدس (غنية بالبروتين والألياف) مع خبز القمح الكامل.  وجبة خفيفة وسهلة الهضم، مثالية قبل النوم.,8
21:00,استرخاء وتأمل,قبل النوم، خصص 10 دقائق للاسترخاء.  جرب تقنية الاسترخاء العضلي التدريجي: شد عضلاتك واحدة تلو الأخرى، ثم ارخيها.  ركز على تنفسك وافراغ ذهنك من الأفكار السلبية.  حاول الاستماع إلى موسيقى هادئة.,8
07:00,تحفيز صباحي,صباح الخير! يومك التاسع من رحلة الـ 100 يوم نحو صحة أفضل!  اليوم، تركّز على قوة عاداتك الصغيرة.  حتى 5 دقائق من التمدد الصباحي ستحدث فرقًا كبيرًا في طاقتك طوال اليوم.  ابدأ بتمديدات بسيطة لرقبتك وظهرك وكتفيك، ثم انتقل إلى ساقيك وقدميك.,9
08:00,وجبة الفطور,وجبة فطور غنية بالبروتين والألياف:  شريحتان من خبز القمح الكامل (غني بالألياف، يساعد على الهضم)، بيضة مسلوقة (مصدر ممتاز للبروتين، ضروري لبناء العضلات وإصلاحها)، حبة أفوكادو (غنية بالدهون الصحية، مفيدة لصحة القلب)، كوب من الشاي الأخضر (غني بمضادات الأكسدة، يحسن عملية الأيض).,9
09:30,معلومة علمية,هل تعلم أن نقص فيتامين د يمكن أن يؤثر سلباً على صحة العظام والمناعة؟  تعرض نفسك لأشعة الشمس لمدة 15-20 دقيقة يوميًا (مع مراعاة الوقاية من أشعة الشمس الضارة)  يساعد على زيادة مستويات فيتامين د بشكل طبيعي.  استشر طبيبك قبل تناول مكملات فيتامين د.,9
11:00,تحدي رياضي,تحدي اليوم: تمارين القرفصاء (Squats).  قم بـ 3 جولات، كل جولة تتضمن 15 قرفصاء.  ركز على الحفاظ على ظهرك مستقيمًا وركبتيك فوق كاحليك.  فوائد القرفصاء: تقوية عضلات الساقين والأرداف، تحسين التوازن، زيادة مرونة المفاصل.,9
13:00,وجبة الغداء,وجبة غداء متوازنة: صدور دجاج مشوية (مصدر بروتين خفيف)، كوب من الأرز البني (غني بالألياف والمعادن)، سلطة خضراء مع خيار وطماطم وزيت زيتون (مصدر للفيتامينات والمعادن والأحماض الدهنية المفيدة).,9
15:00,نصائح غذائية,نصيحة اليوم:  ركز على شرب كمية كافية من الماء طوال اليوم.  الماء ضروري لجميع وظائف الجسم، بما في ذلك الهضم، تنظيم درجة حرارة الجسم، وحتى تحسين وظائف المخ.  حاول أن تحمل زجاجة ماء معك طوال اليوم.,9
17:00,وجبة خفيفة,وجبة خفيفة صحية:  مزيج من المكسرات (لوز، كاجو، فستق) (مصدر للبروتين والدهون الصحية والألياف)  مع قطعة من الفاكهة (تفاح أو برتقال) (مصدر للفيتامينات والألياف).,9
19:00,وجبة العشاء,وجبة عشاء خفيفة وسهلة الهضم:  شوربة خضار (غنية بالفيتامينات والمعادن والألياف) مع خبز قمح كامل صغير.,9
21:00,استرخاء وتأمل,قبل النوم، خصص 10 دقائق للاسترخاء.  جرب تقنية التنفس العميق: استنشق ببطء لمدة 4 ثوانٍ، أمسك أنفاسك لمدة 7 ثوانٍ، ثم ازفر ببطء لمدة 8 ثوانٍ. كرر ذلك لمدة 5 دقائق. ثم استمع إلى موسيقى هادئة لمدة 5 دقائق.,9
07:00,تحفيز صباحي,صباح الخير أبطال! يومنا العاشر من رحلتنا الصحية،  اليوم سنركز على قوة الجهاز الهضمي.  تذكر،  صحة الجهاز الهضمي هي أساس صحة الجسم بأكمله.  ابدأ يومك بكأس ماء دافئ مع عصير ليمون لتحفيز عملية الهضم.,10
08:00,وجبة الفطور,وجبة فطور اليوم:  شريحتان من خبز القمح الكامل (غني بالألياف، يساعد على الهضم) + بيضة مسلوقة (غنية بالبروتين، مهمة لإصلاح الأنسجة) + حفنة من التوت (غني بمضادات الأكسدة، يحمي الخلايا من التلف) + كوب من الزبادي اليوناني (غني بالبروتين والبكتيريا النافعة للجهاز الهضمي).,10
09:30,معلومة علمية,هل تعلم أن البروبيوتيك الموجودة في الزبادي اليوناني تساعد على تحسين صحة الأمعاء عن طريق دعم نمو البكتيريا النافعة؟  تُحسّن هذه البكتيريا عملية الهضم، وتعزز مناعة الجسم.,10
11:00,تحدي رياضي,تحدي اليوم: تمارين البطن! 3 جولات من كل تمرين، 15 تكرار لكل جولة.  التمرينات:  (1)  رفع الركب للصدر، (2)  تمرين الدراجة، (3)  رفع الساقين المستقيمتين.  الفائدة: تقوية عضلات البطن، تحسين الهضم، وتعزيز قوة الجسم الأساسية.,10
13:00,وجبة الغداء,وجبة غداء اليوم: صدور دجاج مشوية (بروتين عالي الجودة) + كوب من الأرز البني (غني بالألياف المعقدة، يمد الجسم بالطاقة تدريجياً) + سلطة خضراء كبيرة مع زيت الزيتون (غني بمضادات الأكسدة والأحماض الدهنية الصحية). ,10
15:00,نصائح صحية,نصيحة اليوم:  اشرب كمية كافية من الماء طوال اليوم، فالماء ضروري لوظائف الجسم المختلفة، بما في ذلك الهضم.  هدفك اليوم 8 أكواب من الماء.,10
17:00,وجبة العصر,وجبة عصر اليوم:  تفاحة متوسطة الحجم (غنية بالألياف،  تعزز الشعور بالشبع) + حفنة من اللوز (غني بالبروتين والألياف والدهون الصحية). ,10
19:00,وجبة العشاء,وجبة عشاء اليوم:  شوربة خضار (غنية بالفيتامينات والمعادن والألياف) + سمكة مشوية (غنية بأحماض أوميغا 3 الدهنية، مفيدة لصحة القلب والدماغ). تجنب الأطعمة الثقيلة قبل النوم.,10
21:00,استرخاء وتأمل,استرخِ قبل النوم من خلال تمارين التنفس العميق.  اجلس بشكل مريح،  واستنشق ببطء لمدة 4 ثوان،  واحبس أنفاسك لمدة 2 ثانية،  ثم زفر ببطء لمدة 4 ثوان. كرر هذا 10 مرات.,10
07:00,تحفيز صباحي,صباح الخير أبطال! يومنا رقم 12 من رحلة الـ 100 يوم نحو صحة أفضل.  اليوم هو يوم التركيز على صحة الجهاز الهضمي.  لنبدأ بتمرين بسيط لتنشيط الجسم: 5 دقائق من تمارين الإطالة الخفيفة.  تذكر، كل خطوة صغيرة تقربك من هدفك!,12
